NORTH CAROLINA   (click below for FL)    -  Early voting / ballot drop off locations             ,,,
This data is from the North Carolina State Board of Elections' statewide list:   https://vt.ncsbe.gov/ossite/GetStatewideList/,,,
"Early-Voting 10/15-10/31. Often M-F 8am-7:30pm, Sat 8-5, Sun 1-5 or closed. But check statewide list for exact times.",,,
County,City,Location,Address
ALAMANCE,GRAHAM,ALAMANCE COUNTY OFFICE ANNEX BUILDING (AUDITORIUM),201 W ELM ST
ALAMANCE,BURLINGTON,ELMIRA COMMUNITY CENTER,810 WICKER ST
ALAMANCE,BURLINGTON,HOLLY HILL MALL,309 HUFFMAN MILL RD # 300
ALAMANCE,BURLINGTON,KERNODLE SENIOR CENTER,1535 S MEBANE ST
ALAMANCE,MEBANE,MEBANE ARTS AND COMMUN ITY CENTER,622 CORREGIDOR ST
ALEXANDER,TAYLORSVILLE,ALEXANDER SENIOR CENTER,730 SW 7TH ST
ALEXANDER,TAYLORSVILLE,BETHLEHEM COMMUNITY FIRE/RESCUE,7373 NC HWY 127
ALEXANDER,HIDDENITE,HIDDENITE VOLUNTEER FIRE DEPARTMENT,4975 E NC 90 HWY
ALLEGHANY,SPARTA,ALLEGHANY COUNTY BOARD OF ELECTIONS OFFICE,348 S MAIN ST # 10
ANSON,WADESBORO,ANSON COUNTY BOARD OF ELECTIONS OFFICE,402 MORVEN RD
ASHE,JEFFERSON,ASHE AGRICULTURAL SERVICES BUILDING,134 GOVERNMENT
AVERY,NEWLAND,AVERY COUNTY DIVE IN POOL COMPLEX,220 SHADY ST
BEAUFORT,AURORA,AURORA - AURORA COMMUNITY CENTER,442 3RD ST
BEAUFORT,WASHINGTON,BEAUFORT COUNTY BOARD OF ELECTIONS OFFICE,1308 HIGHLAND DR # 104
BEAUFORT,BELHAVEN,BELHAVEN - JOHN A WILKINSON CENTER,144 W MAIN ST
BEAUFORT,CHOCOWINITY,CHOCOWINITY FIRE DEPARTMENT,512 E NC HWY 33
BERTIE,WINDSOR,BERTIE COUNTY BOARD OF ELECTIONS OFFICE,210 W WATSON ST
BERTIE,LEWISTON WOODVILLE,LEWISTON,103 W CHURCH ST
BERTIE,POWELLSVILLE,POWELLSVILLE TOWN HALL,106 E MAIN ST
BLADEN,HARRELLS,BAY TREE FIRE DEPARTMENT,12717 NC 41 HWY W
BLADEN,ELIZABETHTOWN,BLADEN COUNTY RECREATION DEPT. (GYM),803 W KING ST
BLADEN,BLADENBORO,BLADENBORO,508 MARTIN LUTHER KING JR DR
BLADEN,CLARKTON,BOOKER T WASHINGTON PRIMARY SCHOOL,66 BOOKER T WASHINGTON SCHOOL RD
BLADEN,RIEGELWOOD,EAST ARCADIA,1472 EAST ARCADIA RD
BLADEN,TAR HEEL,TAR HEEL MUNICIPAL BLDG.,14867 NC 87 HWY W
BRUNSWICK,BOLIVIA,COOPERATIVE EXTENSION,25 REFERENDUM DR NE # N
BRUNSWICK,LELAND,LELAND CULTURAL ARTS CENTER,1212 MAGNOLIA VILLAGE WAY
BRUNSWICK,SHALLOTTE,SHALLOTTE COMMONS,5051 MAIN ST # 4
BRUNSWICK,CALABASH,THE BRUNSWICK CENTER AT CALABASH,10050 BEACH DR SW
BRUNSWICK,LELAND,THE BRUNSWICK CENTER AT LELAND,121 TOWN HALL DR NE
BRUNSWICK,SOUTHPORT,THE BRUNSWICK CENTER AT SOUTHPORT,1513 N HOWE ST # 1
BRUNSWICK,SUPPLY,THE BRUNSWICK CENTER AT SUPPLY,101 STONE CHIMNEY DR
BUNCOMBE,ASHEVILLE,ASHEVILLE MALL,3 S TUNNEL RD
BUNCOMBE,ASHEVILLE,ASHEVILLE OUTLETS,800 BREVARD RD
BUNCOMBE,SWANNANOA,BEE TREE FIRE DEPARTMENT,510 BEE TREE RD
BUNCOMBE,BLACK MOUNTAIN,BLACK MOUNTAIN BRANCH LIBRARY,105 N DOUGHERTY ST
BUNCOMBE,ASHEVILLE,DR. WESLEY GRANT SR - SOUTHSIDE CTR.,285 LIVINGSTON RD
BUNCOMBE,CANDLER,ENKA/CANDLER BRANCH LIBRARY,1404 SAND HILL RD
BUNCOMBE,FAIRVIEW,FAIRVIEW COMMUNITY CENTER,1357 CHARLOTTE HWY
BUNCOMBE,ASHEVILLE,HARRAH'S CHEROKEE CENTER ASHEVILLE,87 HAYWOOD ST
BUNCOMBE,ASHEVILLE,LAND OF SKY REGIONAL COUNCIL,339 NEW LEICESTER HWY # 140
BUNCOMBE,LEICESTER,LEICESTER COMMUNITY CENTER,2979 NEW LEICESTER HWY
BUNCOMBE,ASHEVILLE,REYNOLDS VILLAGE,50 N MERRIMON AVE # 107
BUNCOMBE,ASHEVILLE,SOUTH BUNCOMBE BRANCH LIBRARY,260 OVERLOOK RD
BUNCOMBE,ASHEVILLE,TURTLE CREEK SHOPPING CENTER,23 TURTLE CREEK DR
BUNCOMBE,ASHEVILLE,UNIVERSITY OF NORTH CAROLINA ASHEVILLE,1 UNIVERSITY HTS
BUNCOMBE,WEAVERVILLE,WEAVERVILLE TOWN HALL,30 S MAIN ST
BUNCOMBE,ASHEVILLE,WEST ASHEVILLE COMMUNITY CENTER,970 HAYWOOD RD
BURKE,MORGANTON,BURKE COUNTY BOARD OF ELECTIONS OFFICE,2128 S STERLING ST # 100
BURKE,HILDEBRAN,BURKE COUNTY LIBRARY/SENIOR CENTER,101 MAIN AVE W
BURKE,GLEN ALPINE,GLEN ALPINE TOWN HALL,103 PITTS ST
BURKE,RUTHERFORD COLLEGE,RUTHERFORD COLLEGE TOWN HALL,980 MALCOLM BLVD
BURKE,MORGANTON,SENIOR CENTER,501 N GREEN ST # 100
CABARRUS,CONCORD,CABARRUS ARENA AND EVENTS CENTER,4751 NC HWY 49
CABARRUS,CONCORD,CHARLOTTE MOTOR SPEEDWAY,5555 CONCORD PKWY S
CABARRUS,KANNAPOLIS,KANNAPOLIS TRAIN DEPOT,201 S MAIN ST
CABARRUS,CONCORD,NORTHERN PLAZA,840 CONCORD PKWY
CALDWELL,LENOIR,RESOURCE CENTER,120 HOSPITAL AVE
CALDWELL,GRANITE FALLS,SHUFORD RECREATION CENTER,56 PINEWOOD RD
CAMDEN,CAMDEN,CAMDEN COUNTY BOARD OF ELECTIONS OFFICE,117 NC 343 HWY N
CARTERET,BEAUFORT,CARTERET COUNTY BOARD OF ELECTIONS OFFICE,1702 LIVE OAK ST # 200
CARTERET,NEWPORT,FORT BENJAMIN PARK RECREATION CENTER,100 MCQUEEN AVE
CARTERET,MOREHEAD CITY,MOREHEAD PARKS AND RECREATION,1600 FISHER ST
CARTERET,CEDAR POINT,WESTERN PARK COMMUNITY CENTER,275 OLD HIGHWAY 58
CASWELL,YANCEYVILLE,CASWELL COUNTY BOARD OF ELECTIONS OFFICE,140 MAIN ST
CATAWBA,CONOVER,CONOVER STATION,403 CONOVER STATION SE
CATAWBA,HICKORY,HIGHLAND RECREATION CENTER,1451 8TH ST DR NE
CATAWBA,NEWTON,MAIN LIBRARY,115 WEST 'C' ST
CATAWBA,TERRELL,SHERRILLS FORD-TERRELL BRANCH LIBRARY,9154 SHERRILLS FORD RD
CATAWBA,HICKORY,SOUTHWEST LIBRARY,2944 S NC 127 HWY
CHATHAM,GOLDSTON,GOLDSTON ONE STOP,40 CORAL AVE # A
CHATHAM,PITTSBORO,CCCC HEALTH SCIENCE BUILDING,75 BALLENTRAE CT
CHATHAM,PITTSBORO,CHATHAM COUNTY AGRICULTURE & CONFERENCE CTR,1192 US HWY 64 WEST BUS
CHATHAM,CHAPEL HILL,GOVERNORS VILLAGE,40150 MORING
CHATHAM,APEX,NEW HOPE BAPTIST CHURCH,581 NEW HOPE CHURCH RD
CHATHAM,SILER CITY,SILER CITY,115 S THIRD AVE
CHEROKEE,MURPHY,CHEROKEE COUNTY BOARD OF ELECTIONS OFFICE,40 PEACHTREE ST # B
CHOWAN,TYNER,CENTER HILL NORTHERN CHOWAN COMM CENTER,2869 VIRGINIA RD
CHOWAN,EDENTON,OLD D F WALKER GYMNASIUM,818 N OAKUM ST
CLAY,HAYESVILLE,CLAY COUNTY BOARD OF ELECTIONS OFFICE,54 CHURCH ST
CLEVELAND,SHELBY,BOILING SPRINGS TOWN HALL (NEW),114 E COLLEGE AVE
CLEVELAND,KINGS MOUNTAIN,MT. ZION BAPTIST CHURCH,220 N WATTERSON ST
CLEVELAND,LAWNDALE,PALM TREE UNITED METHODIST CHURCH.,1160 W STAGE COACH TRL
CLEVELAND,SHELBY,THE LEGRAND CENTER,1800 E MARION ST
COLUMBUS,CHADBOURN,CHADBOURN MUNICIPAL ANNEX,208 E 1ST AVE
COLUMBUS,WHITEVILLE,COLUMBUS COUNTY BOARD OF ELECTIONS OFFICE,2322 JAMES B WHITE HWY N
COLUMBUS,FAIR BLUFF,FAIR BLUFF FIRE DEPT,152 MAIN ST
COLUMBUS,RIEGELWOOD,RANSOM EVENT CTR,2696 GENERAL HOWE HWY
COLUMBUS,TABOR CITY,TABOR CITY COURT HOUSE,110 W FOURTH ST
CRAVEN,NEW BERN,BERNE SQUARE,2684 DR. MARTIN LUTHER KING JR BLVD
CRAVEN,COVE CITY,COVE CITY FD,425 S MAIN ST
CRAVEN,NEW BERN,CRAVEN COUNTY BOARD OF ELECTIONS OFFICE,406 CRAVEN ST
CRAVEN,HAVELOCK,NEW BEGINNINGS MINISTRY OF FAITH,30 PARK LN
CRAVEN,VANCEBORO,VANCEBORO FIRE DEPARTMENT,375 NC 43 HWY
CUMBERLAND,FAYETTEVILLE,CLIFFDALE RECREATION CENTER,6404 CLIFFDALE RD
CUMBERLAND,FAYETTEVILLE,COLLEGE LAKES RECREATION CENTER,4945 ROSEHILL RD
CUMBERLAND,FAYETTEVILLE,EAST REGIONAL LIBRARY,4809 CLINTON RD
CUMBERLAND,FAYETTEVILLE,EE MILLER RECREATION CENTER,1347 RIM RD
CUMBERLAND,HOPE MILLS,GRAY'S CREEK RECREATION CENTER,2964 SCHOOL RD
CUMBERLAND,HOPE MILLS,HOPE MILLS RECREATION CENTER,5766 ROCKFISH RD
CUMBERLAND,FAYETTEVILLE,KIWANIS RECREATION CENTER,352 DEAVERS ST
CUMBERLAND,FAYETTEVILLE,MASSEY HILL RECREATION CENTER,1612 CAMDEN RD
CUMBERLAND,FAYETTEVILLE,SMITH RECREATION CENTER,1520 SLATER AVE
CUMBERLAND,SPRING LAKE,SPRING LAKE MULTIPUROSE COMMUNITY CENTER,245 RUTH ST
CUMBERLAND,FAYETTEVILLE,STONEY POINT RECREATION CENTER,7411 ROCKFISH RD
CUMBERLAND,FAYETTEVILLE,WESTOVER RECREATION CENTER,267 BONANZA DR
CURRITUCK,CURRITUCK,COURTROOM C,2801 CARATOKE HWY
DARE,BUXTON,CAPE HATTERAS SECONDARY SCHOOL - AUDITORIUM,48576 NC HWY 12 HWY
DARE,MANTEO,DARE COUNTY ADMINISTRATION BUILDING,954 MARSHALL COLLINS DR # 168
DARE,KILL DEVIL HILLS,KILL DEVIL HILLS TOWN HALL,102 TOWN HALL DR
DAVIDSON,LEXINGTON,ARCADIA COMM BLDG,1281 COMMUNITY RD
DAVIDSON,LEXINGTON,DAVIDSON COUNTY BOARD OF ELECTIONS OFFICE,945 N MAIN ST # A
DAVIDSON,LEXINGTON,DAVIDSON COUNTY WEST CAMPUS GYM,555 W CENTER ST EXT
DAVIDSON,DENTON,DENTON LIBRARY,310 W SALISBURY ST
DAVIDSON,LEXINGTON,MIDWAY UNITED METHODIST,9795 OLD US HIGHWAY 52
DAVIDSON,THOMASVILLE,THOMASVILLE LIBRARY,14 RANDOLPH ST
DAVIE,MOCKSVILLE,BROCK GYM,644 N MAIN ST
DAVIE,MOCKSVILLE,CORNERSTONE CHRISTIAN CHURCH,1585 NC HIGHWAY 801 N
DAVIE,MOCKSVILLE,JERUSALEM VOL FIRE DEPT,7185 NC HIGHWAY 801 HWY S
DUPLIN,WALLACE,AMERICAN LEGION BULDING,529 E SOUTHERLAND ST
DUPLIN,KENANSVILLE,LOIS G BRITT,165 AGRICULTURE DR
DUPLIN,WARSAW,WARSAW FIRE DEPARTMENT,117 W BAY ST
DURHAM,DURHAM,CRIMINAL JUSTICE RESOURCES CENTER,326 E MAIN ST
DURHAM,DURHAM,DUKE UNIVERSITY KARSH ALUMNI CENTER,2080 DUKE UNIVERSITY RD
DURHAM,DURHAM,DURHAM TECH MAIN CAMPUS,1616 COOPER ST
DURHAM,DURHAM,EAST REGIONAL LIBRARY,211 LICK CREEK LN
DURHAM,DURHAM,ENO RIVER UNITARIAN UNIVERSALIST FELLOWSHIP,4907 GARRETT RD
DURHAM,DURHAM,GREATER EMMANUAL TEMPLE OF GRACE,2722 E MAIN ST
DURHAM,DURHAM,HOPE VALLEY BAPTIST CHURCH,6900 GARRETT RD
DURHAM,DURHAM,MAIN LIBRARY,300 N ROXBORO ST
DURHAM,DURHAM,MT SYLVAN UNITED METHODIST CHURCH,5731 N ROXBORO
DURHAM,DURHAM,NCCU ONESTOP,640 NELSON ST
DURHAM,DURHAM,NORTH REGIONAL LIBRARY,221 MILTON RD
DURHAM,DURHAM,SOUTH REGIONAL LIBRARY,4505 S ALSTON AVE
DURHAM,DURHAM,SOUTHERN HIGH SCHOOL,800 CLAYTON RD
DURHAM,DURHAM,THE RIVER CHURCH,4900 PROSPECTUS DR
EDGECOMBE,TARBORO,EDGECOMBE COUNTY ADMINISTRATIVE BUILDING - AUDITORIUM,201 ST ANDREW ST
EDGECOMBE,PINETOPS,PINES CHAPEL MBC FELLOWSHIP HALL,502 E HAMLET ST
EDGECOMBE,ROCKY MOUNT,ROCKY MOUNT DEPARTMENT OF SOCIAL SERVICES,301 S FAIRVIEW RD
FORSYTH,WINSTON SALEM,BROWN DOUGLAS RECREATION CENTER,4725 INDIANA AVE
FORSYTH,CLEMMONS,CLEMMONS LIBRARY,3554 CLEMMONS RD
FORSYTH,WINSTON SALEM,FORSYTH COUNTY BOARD OF ELECTIONS OFFICE,201 N CHESTNUT ST
FORSYTH,WINSTON SALEM,HARPER HILL SHOPPING CENTER,150 GRANT HILL LN
FORSYTH,KERNERSVILLE,KERNERSVILLE BRANCH LIBRARY,248 HARMON LN
FORSYTH,LEWISVILLE,LEWISVILLE LIBRARY,6490 SHALLOWFORD RD
FORSYTH,WINSTON SALEM,MAZIE WOODRUFF,4905 LANSING DR
FORSYTH,WINSTON SALEM,MILLER PARK RECREATION CENTER,400 LEISURE LN
FORSYTH,WINSTON SALEM,OLD TOWN REC CENTERE,4550 SHATTALON DR
FORSYTH,RURAL HALL,RURAL HALL LIBRARY,7125 BROAD ST
FORSYTH,WINSTON SALEM,SEDGE GARDEN REC CENTER,401 ROBBINS RD
FORSYTH,WINSTON SALEM,SOUTHSIDE LIBRARY,3185 BUCHANAN ST
FORSYTH,WINSTON SALEM,SPRAGUE STREET REC CENTER,1350 E SPRAGUE ST
FORSYTH,WALKERTOWN,WALKERTOWN LIBRARY,2969 MAIN ST
FORSYTH,WINSTON SALEM,WINSTON LAKE FAMILY YMCA,901 WATERWORKS RD
FORSYTH,WINSTON SALEM,WINSTON-SALEM FIRST ASSEMBLY OF GOD,3730 UNIVERSITY PKWY
FORSYTH,WINSTON SALEM,WSSU ANDERSON CENTER,800 PRICE ST
FRANKLIN,FRANKLINTON,FRANKLINTON LION'S CLUB,205 S CHAVIS ST
FRANKLIN,LOUISBURG,LOUISBURG ARMORY,600 S BICKETT BLVD
FRANKLIN,BUNN,SHERIFF SUBSTATION,382 N C 98 HWY W
FRANKLIN,YOUNGSVILLE,YOUNGSVILLE BAPTIST CHURCH,315 E MAIN ST
GASTON,CHERRYVILLE,CHERRYVILLE FIRE DEPARTMENT,411 E CHURCH ST
GASTON,DALLAS,CITIZENS RESOURCE CENTER,1303 DALLAS CHERRYVILLE HWY
GASTON,CRAMERTON,FIRST BAPTIST CHURCH OF CRAMERTON,235 EIGHTH AVE
GASTON,GASTONIA,GASTON COUNTY BOARD OF ELECTIONS OFFICE,410 W FRANKLIN BLVD # 30
GASTON,GASTONIA,GASTON COUNTY LIBRARY - MAIN BRANCH,1555 E GARRISON BLVD
GASTON,GASTONIA,KATE'S SKATING RINK,1151 SKATING RINK DR
GASTON,MOUNT HOLLY,MOUNT HOLLY MUNICIPAL COMPLEX,400 E CENTRAL AVE
GATES,GATESVILLE,GATES COUNTY COMMUNITY CENTER,130 US 158 WEST
GRAHAM,ROBBINSVILLE,GRAHAM COUNTY BOARD OF ELECTIONS OFFICE,18 COURT ST
GRANVILLE,OXFORD,OXFORD PUBLIC WORKS BUILDING,127 PENN AVE
GRANVILLE,CREEDMOOR,SOUTH BRANCH LIBRARY,1550 SOUTH CAMPUS DR
GRANVILLE,FRANKLINTON,TAR RIVER ELEMENTARY SCHOOL,2642 PHILO WHITE RD
GREENE,SNOW HILL,GREENE COMMUNITY CENTER,814 W HARPER ST
GREENE,SNOW HILL,GREENE COUNTY BOARD OF ELECTIONS OFFICE,110 SE FIRST ST
GUILFORD,HIGH POINT,ALLEN JAY RECREATION CENTER,1073 E SPRINGFIELD RD
GUILFORD,GREENSBORO,BARBER PARK,1500 DANS RD
GUILFORD,GREENSBORO,BROWN RECREATION CENTER,302 E VANDALIA RD
GUILFORD,GREENSBORO,BUR-MIL CLUB,5834 BUR-MILL CLUB RD
GUILFORD,GIBSONVILLE,CHARLOTTE HAWKINS BROWN MUSEUM,6136 BURLINGTON RD
GUILFORD,GREENSBORO,CRAFT RECREATION CENTER,3911 YANCEYVILLE ST
GUILFORD,HIGH POINT,DEEP RIVER RECREATION CENTER,1529 SKEET CLUB RD
GUILFORD,BROWNS SUMMIT,GATEWAY,5900 SUMMIT AVE
GUILFORD,GREENSBORO,GREENSBORO COLISEUM,1921 W GATE CITY BLVD
GUILFORD,JAMESTOWN,GRIFFIN RECREATION CENTER,5301 HILLTOP RD
GUILFORD,COLFAX,GTCC CAMERON CAMPUS,7908 LEABOURNE RD
GUILFORD,GREENSBORO,GUILFORD AG CENTER,3309 BURLINGTON RD
GUILFORD,GREENSBORO,GUILFORD COUNTY BOARD OF ELECTIONS OFFICE,301 W MARKET ST
GUILFORD,HIGH POINT,HIGH POINT PARKS & RECREATION ADMIN BLDG,136 NORTHPOINT AVE
GUILFORD,JAMESTOWN,JAMESTOWN TOWN HALL,301 E MAIN ST
GUILFORD,GREENSBORO,LEONARD RECREATION CENTER,6324 BALLINGER RD
GUILFORD,GREENSBORO,LEWIS RECREATION CNTR,3110 FOREST LAWN DR
GUILFORD,GREENSBORO,NC A&T,202 UNIVERSITY CIR
GUILFORD,GIBSONVILLE,NORTHEAST PARK,3421 NE PARK DR
GUILFORD,OAK RIDGE,OAK RIDGE TOWN HALL,8315 LINVILLE RD
GUILFORD,PLEASANT GARDEN,PLEASANT GARDEN TOWN HALL,4920 ALLIANCE CHURCH RD
GUILFORD,HIGH POINT,ROY CULLER CENTER,600 N HAMILTON ST
GUILFORD,GREENSBORO,TROTTER RECREATION,3906 BETULA ST
GUILFORD,GREENSBORO,UNCG KAPLAN CENTER FOR WELLNESS,1301 W GATE CITY BLVD
GUILFORD,HIGH POINT,WASHINGTON TERRACE PARK,101 GORDON ST
HALIFAX,HALIFAX,AGRICULTURE BUILDING,359 FERRELL LN
HALIFAX,ENFIELD,ENFIELD FIRE SUBSTATION,9768 RINGWOOD RD
HALIFAX,ROANOKE RAPIDS,KIRKWOOD ADAMS COMMUNITY CENTER,1100 HAMILTON ST
HALIFAX,SCOTLAND NECK,SCOTLAND NECK TOWN HALL,1310 MAIN ST
HARNETT,ANGIER,ANGIER ELEMENTARY,130 E MCIVER ST
HARNETT,ERWIN,ERWIN PARKS AND REC GYM,810 S 16TH ST
HARNETT,LILLINGTON,HARNETT CO COMMONS AREA,309 W CORNELIUS HARNETT BLVD
HARNETT,LILLINGTON,WESTERN HARNETT HIGH SCHOOL,10637 NC 27 W
HAYWOOD,CLYDE,CLYDE MUNICIPAL BUILDING,8437 CAROLINA BLVD
HAYWOOD,WAYNESVILLE,HAYWOOD COUNTY SENIOR RESOURCE CENTER,81 ELMWOOD WAY
HAYWOOD,CANTON,LIBRARY,11 PENNSYLVANIA AVE
HENDERSON,ETOWAH,ETOWAH LIBRARY,101 BRICKYARD RD
HENDERSON,FLAT ROCK,FLAT ROCK VILLAGE HALL,110 VILLAGE CENTER DR
HENDERSON,FLETCHER,FLETCHER TOWN HALL,300 OLD CANE CREEK RD
HENDERSON,HENDERSONVILLE,HENDERSON COUNTY BOARD OF ELECTIONS OFFICE,75 E CENTRAL ST
HERTFORD,AHOSKIE,HERTFORD COUNTY BOARD OF ELECTIONS OFFICE,418 EVERETT ST # A
HERTFORD,MURFREESBORO,MURFREE CENTER,201 E BROAD ST
HOKE,RAEFORD,HOKE COUNTY BOARD OF ELECTIONS OFFICE,227 N MAIN ST
HOKE,RAEFORD,ROCKFISH COMMUNITY CENTER,2749 LINDSAY RD
HYDE,SWAN QUARTER,HYDE COUNTY BOARD OF ELECTIONS OFFICE,1223 MAIN ST
HYDE,OCRACOKE,OCRACOKE VOLUNTEER FIRE DEPARTMENT,822 IRVIN GARRISH HWY
IREDELL,HARMONY,AMERICAN LEGION BUILDING,3085 HARMONY HWY
IREDELL,STATESVILLE,IREDELL COUNTY BOARD OF ELECTIONS OFFICE,203 STOCKTON ST
IREDELL,MOORESVILLE,MT MOURNE IB SCHOOL (FORMER CAMPUS),1431 MECKLENBURG HWY
